id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06976,29.04379,Entire home/apt,1067,365,41,2017-08-04,0.55,2,363,0,
27271,Lovely apartment in perfect location,117026,Mutlu,,Beyoglu,41.03254,28.98153,Entire home/apt,362,30,2,2018-05-04,0.02,1,324,0,
27831,"Large, clean, spacious apartment",120067,Defne,,Sisli,41.06777,29.00337,Entire home/apt,786,1,0,,,1,364,0,
28277,Duplex Apartment 11 with Terrace,121607,Alen,,Sisli,41.04672,28.98402,Entire home/apt,610,14,1,2021-05-15,0.22,17,298,1,
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09104,29.0558,Entire home/apt,1112,3,0,,,1,88,0,
29241,"↪ Istanbul, Your second house",125742,Şevki,,Beyoglu,41.04803,28.95227,Private room,445,3,0,,,1,365,0,
30697,nice home in popular area,132137,Nan,,Beyoglu,41.03213,28.978,Private room,1035,1,1,2010-06-14,0.01,1,365,0,
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.05376,28.99876,Private room,547,2,1,2014-10-21,0.01,2,364,0,
34177,PETIT HOUSE,147330,Ercan,,Besiktas,41.06681,29.04035,Entire home/apt,356,10,8,2016-07-14,0.12,2,0,0,
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02694,28.97628,Private room,613,1,0,,,1,365,0,
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.0347,28.97369,Entire home/apt,259,4,39,2020-02-03,0.45,2,305,1,
35938,Cosy Room in Istanbul Center,154245,Sinan,,Sisli,41.04962,28.99846,Private room,666,1,0,,,1,365,0,
41753,Örücü Palace / Princess Apartment,182639,Mehmet Ali,,Beyoglu,41.02907,28.97794,Entire home/apt,507,5,46,2017-01-02,0.38,6,179,0,
42246,Room on a Hill - quiet and comfy,184607,Mina,,Besiktas,41.06429,29.03945,Entire home/apt,619,3,46,2016-05-08,0.44,1,273,0,
44421,Beautiful Studio With A View,194194,Zeyno,,Beyoglu,41.02942,28.98154,Private room,961,180,86,2015-07-27,0.79,2,238,0,
44429,"Cozy, central, lovely&check out the bathroom!*",194194,Zeyno,,Beyoglu,41.03084,28.97986,Entire home/apt,362,5,24,2019-03-29,0.82,2,58,2,
47377,Double Room in Taksim,214374,Bertan Kemal,,Beyoglu,41.0337,28.99039,Private room,445,3,0,,,1,365,0,
48346,Charming Apartment in Kuzguncuk,220212,Yesim,,Uskudar,41.03258,29.03239,Entire home/apt,722,3,17,2021-02-14,1.91,4,357,4,
52828,Prince(Garden Apart),182639,Mehmet Ali,,Beyoglu,41.0269,28.97924,Entire home/apt,610,5,27,2014-04-14,0.25,6,179,0,
58441,Private  studio bestlocation@Taksim,279673,Engin,,Beyoglu,41.03728,28.98414,Entire home/apt,310,28,16,2014-06-30,0.18,3,364,0,
77292,3 Bedroom Apartment with Terrace Bosphorus View,414003,Fasedis,,Beyoglu,41.03583,28.98989,Entire home/apt,1036,3,3,2020-08-29,3,10,285,1,
88949,Wonderful House with Historical View,485384,Alev,,Beyoglu,41.03319,28.98071,Entire home/apt,517,3,88,2019-07-20,0.81,2,350,2,
